Source,Target,Jumps,Path Length
Quran,Lunar eclipse,2,2
Quran,One Thousand and One Nights,31,2
Quran,How I Met Your Mother,25,3
Quran,Charles Manson,151,3
Quran,Death Stranding,20,3
Quran,Ming dynasty,25,2
Quran,Godzilla,66,3
Quran,Brad Pitt,154,3
Quran,George VI,720,3
Quran,Lil Wayne,33,3
Quran,Emma Watson,106,3
Quran,Sapiens: A Brief History of Humankind,41,3
Quran,World War II,54,2
Quran,COVID-19 pandemic,8,2
Quran,Shark,3,2
Quran,The Winds of Winter,1 path,3
Quran,"James, Viscount Severn",23,3
Quran,Horizon Zero Dawn,19,3
Quran,Breaking Bad,66,3
Quran,2018 FIFA World Cup,3,2
Quran,Portal:Contents,Error,Error
Quran,Blue Ocean Strategy,1 path,3
Quran,Federated States of Micronesia,1 path,2
Quran,Yara Shahidi,10,3
Quran,League of Legends,1 path,2
Quran,The Hobbit,1 path,2
Quran,Ice Age,8,3
Quran,Book of Job,29,2
Quran,Angelina Jolie,120,3
Quran,Madonna,617,3
Quran,Raccoon,371,3
Quran,Leviathan,15,2
Quran,Kosovo War,1 path,2
Quran,List of Marvel Cinematic Universe films,7,3
Quran,Watchmen,60,3
Quran,Queen,5,3
Quran,Darth Vader,80,3
Quran,Doctor Strange,22,3
Quran,Tang dynasty,31,2
Quran,Snake,4,2
Quran,Crusades,73,2
Quran,Poland,14,2
Quran,Bird,5,2
Quran,World War III,7,2
Quran,Yellowstone National Park,273,3
Quran,Tom Hardy,113,3
Quran,2003 invasion of Iraq,13,2
Quran,Green Day,1 path,2
Quran,Getting Things Done,2,3
Quran,William Shakespeare,16,2
Quran,Luke Cage,16,3
Quran,Vladimir Putin,4,2
Quran,2014 FIFA World Cup,316,3
Quran,The Catcher in the Rye,95,3
Quran,Vietnam War,4,2
Quran,George Washington,3,2
Quran,German Empire,16,2
Quran,Dodo,1 path,2
Quran,Tom Cruise,350,3
Quran,United States Senate,3,2
Quran,Bosnian War,5,2
Quran,Iran–Iraq War,15,2
Quran,Avatar,10,2
Quran,God,1 path,1 degree
Quran,"Men Are from Mars, Women Are from Venus",16,3
Quran,Americas,23,2
Quran,Giraffe,1 path,2
Quran,xHamster,2,3
Quran,Rihanna,128,3
Quran,Mars,2,2
Quran,The Wealth of Nations,1 path,2
Quran,Cat,1 path,2
Quran,New York Yankees,326,3
Quran,The Big Bang Theory episodes,795,4
Quran,Jadon Sancho,7,3
Quran,Jackie Evancho,3,3
Quran,Dunkirk evacuation,148,3
Quran,LaMelo Ball,3,3
Quran,Iron Maiden,231,3
Quran,China,64,2
Quran,Mongol Empire,35,2
Quran,Maurya Empire‎,Error,Error
Quran,Pink Floyd,393,3
Quran,Selena Gomez,43,3
Quran,Aston Villa F.C.,1 path,2
Quran,Krishna,22,2
Quran,Eminem,114,3
Quran,Battle of Midway,338,3
Quran,Human,17,2
Quran,Magna Carta,2,2
Quran,Alice's Adventures in Wonderland,1 path,2
Quran,France,39,2
Quran,Undefined,1 path,4
Quran,Mexican–American War,"1,201",3
Quran,Elizabeth II,5,2
Quran,Charles III,1 path,2
Quran,Abbasid Caliphate,1 path,1 degree
Quran,The Big Short,5,3
Quran,Jennifer Lawrence,39,3
Quran,Roman Empire‎,Error,Error
Quran,United States cities by population,626,3
Quran,Lightning,6,2
Quran,Ronald Reagan,7,2
Quran,God of War (2018 video game),32,3
Quran,Running Man episodes,Error,Error
Quran,Robin Williams,240,3
Quran,Captain America,67,3
Quran,Photosynthesis,1 path,2
Quran,Real Madrid C.F.,1 path,2
Quran,On the Origin of Species,4,2
Quran,Miley Cyrus,46,3
Quran,Chernobyl disaster,592,3
Quran,ABBA,96,3
Quran,The 7 Habits of Highly Effective People,12,3
Quran,Saturn,2,2
Quran,Special:Randompage,Error,Error
Quran,Atomic bombings of Hiroshima and Nagasaki,1 path,2
Quran,Attack on Pearl Harbor,2,2
Quran,A Game of Thrones,26,3
Quran,Russia,57,2
Quran,Demi Lovato,21,3
Quran,Leicester F.C.,10,3
Quran,Cold War,18,2
Quran,Vampire,5,2
Quran,Tiger,6,2
Quran,Achaemenid Empire,77,2
Quran,XXXX,17,4
Quran,The Simpsons,411,3
Quran,Inca Empire,13,2
Quran,High School DxD,1 path,2
Quran,Iraq War,14,2
Quran,Taylor Swift,539,3
Quran,The Lord of the Rings,1 path,2
Quran,Olivia Rodrigo,17,3
Quran,Alpha Centauri,1 path,2
Quran,Bill Gates,965,3
Quran,Big Bang,8,2
Quran,Talmud,1 path,1 degree
Quran,Egypt,1 path,1 degree
Quran,Prince George of Cambridge,1 path,2
Quran,Avengers: Endgame,58,3
Quran,Liverpool F.C.,1 path,2
Quran,Don Quixote,1 path,2
Quran,Earth,20,2
Quran,Game of Thrones,1 path,2
Quran,The Walking Dead,257,5
Quran,Aeneid,7,2
Quran,Spice Girls,173,3
Quran,Cleopatra,8,2
Quran,Who Moved My Cheese?,3,3
Quran,Mila Kunis,53,3
